Question,QuestionID,Identifier,StudentResponse,CorrectAnswer,MaxPossibleScore,StudentScore,TenantName,Provider,Rubric,Grade,Subject
"Read the passage and answer the following question(s).Anansi and the Mango Tree00000Fruit tree of Spider Anansi00000Full of mangoes sweet and ripe00000He&amp;#8217;s too small to reach the growing fruit00000But he wants to taste a bite50000To his friend Crow, he says00000&amp;#8220;You&amp;#8217;re beautiful to me&amp;#8221;00000She calls to the other crows00000&amp;#8220;Come hear his flattery&amp;#8221;00000The crows fly to the mango tree10000The branches are weighed down00000The fruits, they swing and bounce and sway00000Then gently land on the ground&amp;#34;Anansi and the Mango Tree&amp;#34; by Anonymous. In the public domain.Write two words that describe Anansi. Use details from the poem to support your words.",8566818,2e8f1f27-cd27-4e18-aaaf-16d94e4bbae6,Anansi is very clever because in the story Anansi and the Mango Tree anansi calls his friend very beautiful and the crow falls for it and she helps anansi get the mango.Anansi is also very smart because he knew that the crow would fall for it by calling her a nice name and she helps him.,<p>Anansi&nbsp; wonido foot of the mango Tree</p><p>&nbsp;</p><p>Anansi is smol and he has to halp him fom crow</p>,2,2,Leona Group - Discovery,KDS 21-22,,Grade 4,ELA
"Christopher and his dad are planning a fishing trip for Saturday morning, and they need to collect worms to use as bait before they leave.&amp;#160; Christopher's dad wants them to have a total of 50 worms.Part A:On Wednesday after school, Christopher collects 12 worms.&amp;#160; On Thursday after school, Christopher collects 14 worms.&amp;#160; How many more worms does Christopher need to collect on Friday in order to have a total of 50 worms?Part B: On Friday after school, Christopher realizes that he forgot to put the lid back on his jar of worms and 5 of them escaped.&amp;#160; Using the information you found in Part A, how many total worms does Christopher need to find now?",8609328,4562d3ae-074b-47ec-a29e-8f8c4784b072,<ul><li><strong><em>First I added 12 &amp; 14.&nbsp;</em></strong></li><li><strong><em>Next I put the sum For Part A</em></strong></li><li><strong><em>Then I the sum&nbsp;</em></strong><strong><em>MInus 5&nbsp;</em></strong></li><li><strong><em>Finally I did 50 Minus the sum&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</em></strong></li></ul>,<p>A.Christopher needs 24 worms in total</p><p>B. Christopher needs 29 more worms.</p><p>&nbsp;</p>,2,2,Leona Group - ECUEA,KDS 21-22,2: The student demonstrates a sufficient understanding of the text by describing two characteristics of Anansi with details from the poem to support the descriptions:Anansi is sly&amp;#8212;he uses flattery to convince the crows to come over so the branches are weighed down enough so the fruit will fall to the ground;Anansi is smart&amp;#8212;he quickly figures out a plan to get the fruit to the ground so he can eat it. 1: The student demonstrates a limited understanding of the text by only partially describing the characteristics of Anansi and/or using only partial details from the poem to support the descriptions. 0:The student does not demonstrate understanding of the text.,Grade 4,Mathematics
Answer the question below. Use the rubric in materials for help if needed.Why are the methods used to find exosolar planets based off inferences rather than direct observations?,8434663,ll-d898f9d5de13474ba982db57854f46b4,Because exosolar planets are to far away to see with our eyes.,,4,3.5,Galileo Academy,Lincoln Learning Solution,Answer the question below. Use the rubric in materials for help if needed.Why are the methods used to find exosolar planets based off inferences rather than direct observations? Use details to support your answer.,Grades 9-12,Science
"4
Mr. Alexander wrote the two expressions below on a chalkboard.
2
×
(
6
+
3
)
⁢











2
×
6
+
3
Sergio says the two expressions will have different answers. Marla says the two expressions will have the same answer.

• Evaluate each expression. Then tell who was correct and who was incorrect about the answers to the expressions, and explain the error made by the student who was incorrect.

• Choose one of the expressions Mr. Alexander wrote and write it below. Then write a word problem that could be answered by using the expression you chose.
Scoring Rubric",7857216,i-262004,"<p>&nbsp;</p><table><tbody><tr style=""height:100%;""><td style=""width:50%;""><p>2x(6+3)</p><p>2(6) + 2(3)</p><p>12 + 6<br /></p></td><td style=""width:50%;""><p>2x6+3</p><p>12+3</p><p>15</p></td></tr></tbody></table><p>Sergio is correct. You will get two different answers</p><p>&nbsp;</p><p>Susan bought 6 toy cars and 3 packs of trading cards for each of her sons. Susan has two sons. How many items did she buy?</p>","<p>&nbsp;</p><table><tbody><tr style=""height:100%;""><td style=""width:50%;""><p>2x(6+3)</p><p>2(6) + 2(3)</p><p>12 + 6<br /></p></td><td style=""width:50%;""><p>2x6+3</p><p>12+3</p><p>15</p></td></tr></tbody></table><p>Sergio is correct. You will get two different answers</p><p>&nbsp;</p><p>Susan bought 6 toy cars and 3 packs of trading cards for each of her sons. Susan has two sons. How many items did she buy?</p>",4,4,Lincoln Learning Solutions,Certica Solutions,"4-point response: The response indicates advanced proficiency in applying rules (conventions) for order of operations to whole numbers where the left to right computations are modified only by the use of parentheses. The response is characterized by the following:
• The student gets an answer of 18 for the first expression and 15 for the second expression. This means that Sergio was correct and Marla was incorrect. Marla did not remember that the parentheses mean that 6 + 3 is done first in one expression while 2 times 6 is done first in the other expression.
• The student copies one of the expressions and writes a word problem that could be solved using the chosen expression. An example for each follows:
2 × (6 + 3)
Mike works 6 word puzzles each morning and 3 word puzzles each night. How many word puzzles will he work in 2 days?
2 × 6 + 3
Mike did 6 math problems in class and 6 on the school bus. He did 3 more problems at home. How many math problems did Mike do in all?

3-point response: The response indicates proficiency in applying rules (conventions) for order of operations to whole numbers where the left to right computations are modified only by the use of parentheses. The response is characterized by the following:
• The student answers the first part correctly and writes a word problem in the second part that is not fully correct.

2-point response: The response indicates partial proficiency in applying rules (conventions) for order of operations to whole numbers where the left to right computations are modified only by the use of parentheses. The response is characterized by the following:
• The student answers the first part correctly and writes a word problem in the second part, but does not tell which expression he/she is writing the problem for.
OR
• The student makes a computation error in one or both expressions, but shows understanding of the order of operations in the explanation and word problem.

1-point response: The response indicates limited proficiency in applying rules (conventions) for order of operations to whole numbers where the left to right computations are modified only by the use of parentheses. The response is characterized by the following:
• The student attempts one or both parts of the problem, with some correct thinking shown, but mostly incorrect work or many omissions in thinking and procedures.

0-point response: The response indicates no proficiency in applying rules (conventions) for order of operations to whole numbers where the left to right computations are modified only by the use of parentheses. The response is characterized by the following:
• The student attempts the problem, but any work shown does not show understanding of any of the necessary concepts.
OR
• The student does not attempt the problem.",Grade 5,Mathematics
"4
Oysters and blue crabs often live in the same areas. Blue crabs are predators that can crush and eat oysters. The line plots show the masses of shells of oysters in a coastal area. The top plot shows shell masses of randomly sampled oysters in the area before blue crabs were present. The bottom plot shows shell masses of randomly sampled oysters after ten years of blue crabs in the area.


The mean, median, and mode for both sets of data are given in the table.

Before Blue Crabs After Blue Crabs
Mean 1.8 2.0
Median 1.8 2.0
Mode 1.8 1.8

Compare the measures of center for the two populations. Do the measures of center indicate a difference between the two populations? Explain your answer. What other statistic could be helpful in evaluating whether the oyster population changed over the last ten years? Explain your choice.
Scoring Rubric

Sample responses include:
Both the mean and median increased from 1.8 to 2.0, indicating that shell mass in the oyster population may have increased over the ten years. The mode of both populations is 1.8. The fact that this statistic is the same does not indicate that oyster shell mass changed over ten years. A measure of variability (range, interquartile range, MAD, etc.) would be useful for determining change. The variability appears to have increased in the presence of blue crabs. There appear to be many more oysters with shell masses higher than the mean, median, or mode after the blue crabs were introduced.

The mean and median values increased from 1.8 to 2.0. The mode of both groups is 1.8. Because the sample size is small and the differences in mean and median are small, more information is needed to determine whether there is a difference between the two groups of oysters. A measure of spread like the mean absolute deviation is needed to determine whether there are differences.",7878129,i-341772,efgbnhjhmngbfvdewsq,efgbnhjhmngbfvdewsq,4,2.5,QA QC,Certica Solutions,"4 Points
The response indicates advanced proficiency in using measures of center and variability to informally compare random samples from two populations. The response includes a correct comparison of the means, medians, and modes of the two populations. It discusses whether the measures of center indicate a difference in the sizes of the two populations of oysters using appropriate statistical reasoning. It also indicates that a measure of variability would be helpful in evaluating whether the oyster population changed.

3 Points
The response indicates proficiency in using measures of center and variability to informally compare random samples from two populations. The response includes about 75% of the elements of a full-credit answer. It may include a correct comparison of the measures of center and a discussion of whether they indicate a difference between the populations, but there is not an indication that a measure of variability is needed to determine if there is a difference in sizes between populations. Or it may include answers to all parts of the question, but there are either errors in comparison or the differences between means and medians are used as proof that there are differences between populations.

2 Points
The response indicates partial proficiency in using measures of center and variability to informally compare random samples from two populations. The response includes about 50% of the elements of a full-credit answer. It may only include comparisons of the three measures of center without a discussion of what conclusions are supported by the comparison or any mention of the need to compare a measure of variability with the two populations.

1 Point
The response indicates limited proficiency in using measures of center and variability to informally compare random samples from two populations. The response includes about 25% of the elements of a full-credit answer. It may include only a partially correct comparison of the measures of center or only a correct comparison of 1 or 2 of the measures of center. There is no discussion of the conclusions that can be drawn or the need to also consider a measure of variability.

0 Points
The response indicates no proficiency in using measures of center and variability to informally compare random samples from two populations. The student shows no understanding of the task/problem.",Grade 7,Mathematics
"4
Resting heart rate is the number of times a person’s heart beats during one minute when the person is at rest. Resting heart rate is normally measured first thing in the morning, while the person is still lying down. Resting heart rate can change over time. It can decrease if a person begins an exercise program. It can increase if a person becomes less fit. The table shows resting heart rates in a sample of adult male non-athletes compared with a sample of adult male marathon runners.

Resting Heart Rates
(beats per minute, bpm)
Adult Male
Non-athletes Adult Male
Marathon Runners
72 60
69 49
78 52
70 57
59 59
64 55
80 57

1. Resting heart rate is measured in another sample of seven adult male non-athletes. Is the mean resting heart rate in that group likely to be closer to 68 bpm or 58 bpm? Support your answer using the data in the table.

2. More samples of male non-athletes are compared to male athletes in an expanded study of resting heart rate. In which of these groups would there likely be the least variation in resting heart rates among individuals? Support your answer using the data in the table.

3. The resting heart rate of a male who is not part of the study is 55 bpm. Is this male most likely to be an athlete or non-athlete? Support your answer using the data in the table.

4. What kind of difference would be expected when comparing the resting heart rate of female athletes vs. female non-athletes? Support your answer using data from the table",7878139,i-323742,anansi is very clever because in the story Anansi and the Mango Tree anansi calls his friend very beautiful and the crow falls for it and she helps anansi get the mango.Anansi is also very smart because he knew that the crow would fall for it by calling her a nice name and she helps him.,,4,1,Tennessee Itembank,Certica Solutions,"Scoring Rubric:

Sample Response:
1. It is likely to be closer to 68 bpm, because that is closer to the average resting heart rate of the sample of non-athletes in the table. From the data in the table, the mean resting heart rate of non-athletes is 70.3 and that of athletes is 55.6.
2. There would be the least variation among individuals in the male athletes group, based on data in the table. The range of values for the athletes is 11, while for non-athletes the range is 21.
3. The male is most likely to be an athlete. His resting heart rate is close to the mean in the athlete group, and the range of heart rates does not go as low as 55 in the non-athlete group.
4. One would expect mean resting heart rate to be lower in female athletes vs. female non-athletes. The mean resting heart rate of male athletes vs. male non-athletes is lower, and the same should be true for females.

4 Points
The response indicates advanced proficiency in analyzing data from random samples to draw and support conclusions. The response includes a correct resting heart rate with an explanation. The response also identifies the group that would have the least variation in resting heart rate, along with an explanation. The response also correctly indicates that a male with a heart rate of 55 bpm is likely to be an athlete and explains why. Lastly, the response explains the difference that would be expected when comparing the resting heart rate of female athletes to the resting heart rate of male athletes, with an explanation to support the reasoning.

3 Points
The response indicates proficiency in analyzing data from random samples to draw and support conclusions. The student correctly completes 3 of the 4 parts in the sample response.

2 Points
The response indicates partial proficiency in analyzing data from random samples to draw and support conclusions. The student correctly completes 2 of the 4 parts in the sample response.

1 Point
The response indicates limited proficiency in analyzing data from random samples to draw and support conclusions. The student correctly completes 1 of the 4 parts in the sample response.

0 Points
The response indicates no proficiency in analyzing data from random samples to draw and support conclusions. The student shows no understanding of the concept or task.",Grade 7,Mathematics
"Answer the question below. Use the rubric in the materials for help if needed.It is important for students to make healthy choices at lunchtime. However, it can be difficult for schools to provide nutritious, tasty lunches to all of their students. Identify two common issues that schools may face when creating their lunch program. Then, explain two specific choices that a student can make to overcome these challenges. Use details to support your answer.",8502413,ll-0e0b078329404431a2afaa146e18b7ff,<p>They dont have healthy options </p><p>they dont have secondary choices </p><p>&nbsp;</p><p>they can pack a lunch </p>,<p>they could hold a fundraiser and get money to deliver more healthy food to school and they could also tell other schools to do the same.</p><p>schools can start making their own gardens and grow healthy food .</p>,4,3.5,Galileo Academy,Lincoln Learning Solution,Use details to support your answer.,Grades 6-8,Wellness and Nutrition
Acids and bases have very different properties. Explain how you would identify a substance that you encounter every day based on the typical properties of acids and bases. Use details to support your answer.,8441230,ll-2ddacd05496f4a5c8255b08785ae3d65,"I would taste it, touch it, electrocute it, and put it on metal. If it conducts electricity, doesn't corrode metal, and is bitter or slippery, it is likely a base. If it doesn't conduct electricity, is sour, and corrodes metal, it is likely an acid.","I would taste it, touch it, electrocute it, and put it on metal. If it conducts electricity, doesn't corrode metal, and is bitter or slippery, it is likely a base. If it doesn't conduct electricity, is sour, and corrodes metal, it is likely an acid.",4,4,Galileo Academy,Lincoln Learning Solution,Answer the question below. Use the rubric in the materials for help if needed.Acids and bases have very different properties. Explain how you would identify a substance that you encounter every day based on the typical properties of acids and bases. Use details to support your answer.,Grades 9-12,Science
"There are six basic components of nutrition that the body needs in order to function properly. Identify each component of nutrition. Then, explain one way that each component supports your body's functioning. Use details to support your answer.",8502972,ll-e7e7fe50b64d4786949372f983874a4d,I need help with this one if you can help me i would happy.,"The six basic components of nutrition are water, fats, minerals, vitamines, proteins and Carbohydrates. Water is 60% of your body and is required for your cells. Fats protect your body from impact, minerals like calcium help make your bones strong, vitamines help your overall health, and finally, Carbohydrates fuel your body for your everyday work outs.",4,0,Galileo Academy,Lincoln Learning Solution,"Answer the question below. Use the rubric in the materials for help if needed.There are six basic components of nutrition that the body needs in order to function properly. Identify each component of nutrition. Then, explain one way that each component supports your body's functioning. Use details to support your answer.",Grades 6-8,Wellness and Nutrition
Define health in your own words. What is the difference between health and wellness? Use details to support your answer.,8501102,ll-b61787ad503f4ae3a68e2d80cdbc6441,Health is like the word for being fine or how u should be. Like you have good health ur fine and are good but if u have bad health ur sick and needhelp to get better. Wellness I dont know how to put it.,Wellness is state of when you have taken action to improve your health. Health is when you are well.,4,2,Galileo Academy,Lincoln Learning Solution,Answer the question below. Use the rubric in the materials for help if needed.Define health in your own words. What is the difference between health and wellness? Use details to support your answer.,Grades 6-8,Wellness and Nutrition
